,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
0,0.999895,0.01449123,-0.86193422,0.50702013,0.90618314,0.42288547,None,None,None,None,0.10595753,-0.99437066,-0.12899451,-0.99164531,0.0,0.0,0.01098835,-0.99993963,-0.05397526,-0.99854227,-0.02082881,-0.99978306,0.14511419,-0.98941491
1,0.0,0.0,-0.52409743,0.85165832,0.59670277,0.80246234,None,None,None,None,0.13690991,-0.9905835,-0.12899451,-0.99164531,0.0,0.0,0.0,0.0,-0.09292945,-0.9956727,-0.03091305,-0.99952208,0.16439899,-0.98639392
2,0.0,0.0,-0.11043153,0.99388373,0.16439899,0.98639392,None,None,None,None,0.13582625,-0.99073267,-0.11309093,-0.99358464,0.99965392,0.02630668,0.0,0.0,-0.13456727,-0.99090446,-0.0531164,-0.99858833,0.10202887,-0.99478144
3,0.99988168,0.0153828,-0.23635158,0.9716676,0.16439899,0.98639392,None,None,None,None,0.12899451,-0.99164531,-0.09709996,-0.99527463,0.99963497,0.02701716,-0.0106377,-0.99994342,-0.17666406,-0.98427121,-0.06651901,-0.99778516,0.0766965,-0.99705449
4,0.99705449,0.0766965,-0.52409743,0.85165832,0.2524219,0.96761727,None,None,None,None,0.15388273,-0.98808912,-0.08038419,-0.99676396,0.99654576,0.08304548,-0.0113629,-0.99993544,-0.21828984,-0.97588398,-0.02324953,-0.99972969,0.06479859,-0.99789836
5,0.99696214,0.07788767,-0.86450719,0.50262046,0.57346234,0.81923192,None,None,None,None,0.18237319,-0.98322938,-0.08038419,-0.99676396,0.98724112,0.15923244,-0.07210101,-0.99739734,-0.24557562,-0.96937744,0.22762937,-0.97374785,0.10333986,-0.99464611
6,0.9964283,0.08444308,-0.97913384,-0.20321646,0.99612985,-0.08789381,None,None,None,None,0.1604938,-0.98703685,-0.08836268,-0.99608837,0.98994949,0.14142136,-0.09594092,-0.99538703,None,None,0.4472136,-0.89442719,None,None
7,0.99928876,0.03770901,-0.85165832,-0.52409743,0.84481908,-0.53505208,None,None,None,None,0.11219044,-0.99368672,-0.11400591,-0.99348007,0.98744063,0.1579905,-0.10910093,-0.99403068,None,None,0.68738482,-0.7262934,None,None
8,0.99420705,-0.10748184,-0.26471698,-0.96432615,0.28580512,-0.95828776,None,None,None,None,0.01587102,-0.99987405,-0.13436367,-0.99093209,0.97854978,0.20601048,-0.06479859,-0.99789836,None,None,0.76012134,-0.64978115,None,None
9,0.70710678,-0.70710678,-0.019996,-0.99980006,None,None,None,None,None,None,-0.02541552,-0.99967697,-0.06293804,-0.99801744,0.89442719,0.4472136,-0.08112705,-0.99670377,None,None,0.73569822,-0.67730947,None,None
10,-0.19611614,-0.98058068,0.01694672,-0.99985639,None,None,None,None,None,None,-0.06707549,-0.9977479,-0.08662962,-0.99624059,-0.9486833,-0.31622777,0.04592849,-0.99894473,None,None,0.63108747,-0.77571168,None,None
