,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
0,-0.98639392,0.16439899,0.10468478,-0.99450545,-0.38870051,-0.92136416,0.0897267,-0.99596642,-0.06023525,-0.99818421,-0.14873358,-0.9888773,0.10653312,-0.99430915,-0.99890999,-0.04667804,-0.03760779,-0.99929258,0.02823732,-0.99960125,-0.0493902,-0.99877956,-0.04187939,-0.99912267
1,-0.98850576,0.15118323,0.13065332,-0.99142812,-0.40416385,-0.9146866,0.09688716,-0.99529537,-0.03416807,-0.9994161,-0.12797134,-0.99177787,0.11004191,-0.99392695,-0.99843151,-0.05598681,-0.03781078,-0.99928492,0.01704298,-0.99985476,-0.05935463,-0.99823696,-0.0669228,-0.99775816
2,-0.98923487,0.14633652,0.15437688,-0.98801203,-0.41007068,-0.91205375,0.1218913,-0.99254346,-0.03359447,-0.99943555,-0.11614411,-0.99323237,0.11746078,-0.99307752,-0.99843151,-0.05598681,-0.02701716,-0.99963497,0.0,0.0,-0.05935463,-0.99823696,-0.07998978,-0.99679568
3,-0.98823529,0.15294118,0.17820357,-0.98399364,-0.41592635,-0.9093983,0.16439899,-0.98639392,-0.11684125,-0.9931506,-0.1126389,-0.99363599,0.11746078,-0.99307752,-0.99843151,-0.05598681,-0.00523553,-0.99998629,-0.01648128,-0.99986417,-0.05704979,-0.99837133,-0.07573126,-0.99712826
4,-0.98910842,0.14718875,0.18096217,-0.98349006,-0.4329618,-0.90141227,0.25492597,-0.96696057,-0.19930915,-0.97993666,-0.11522734,-0.99333915,0.1197005,-0.99281005,-0.99778516,-0.06651901,0.03189865,-0.99949111,-0.01685154,-0.999858,-0.03066043,-0.99952986,-0.08304548,-0.99654576
5,-0.99006632,0.14060113,0.21440729,-0.97674434,-0.45011521,-0.89297049,0.30572641,-0.9521194,-0.28580512,-0.95828776,-0.12257465,-0.9924593,0.12360009,-0.99233211,-0.99830763,-0.05815384,0.03760779,-0.99929258,-0.02272141,-0.99974184,0.01935121,-0.99981275,-0.09053575,-0.99589321
6,-0.99437574,0.10590984,0.26311741,-0.96476382,-0.48307734,-0.87557768,0.34731436,-0.93774876,-0.37139068,-0.92847669,-0.13475945,-0.99087834,0.12670768,-0.9919401,-0.99820485,-0.05989229,0.03241539,-0.99947448,-0.02285117,-0.99973888,0.02613486,-0.99965843,-0.13598002,-0.99071158
7,-0.99783772,0.06572584,0.34496171,-0.93861676,-0.53995469,-0.84169408,0.38160267,-0.92432646,-0.46031716,-0.88775453,-0.14968869,-0.98873318,0.11248902,-0.99365297,-0.99954118,-0.03028913,0.01630218,-0.99986711,-0.02855977,-0.99959209,0.019996,-0.99980006,-0.16968836,-0.98549777
8,-0.99911209,0.04213123,0.41500518,-0.90981905,-0.59870472,-0.80096983,0.46339932,-0.88614958,-0.50845299,-0.86108975,-0.16951087,-0.98552832,0.10026734,-0.99496053,-0.99994686,-0.01030873,-0.0054347,-0.99998523,-0.01704298,-0.99985476,0.0067566,-0.99997717,-0.23162053,-0.97280621
9,-0.99971667,0.02380278,0.50194921,-0.8648971,-0.64811863,-0.76153939,0.55279474,-0.83331745,-0.59023419,-0.80723206,-0.17537677,-0.98450139,0.1061168,-0.99435367,-0.99978751,-0.02061418,-0.03801598,-0.99927713,-0.04566659,-0.99895674,0.0067566,-0.99997717,-0.23786873,-0.97129731
10,-0.99971327,0.02394523,0.5804753,-0.81427785,-0.70291041,-0.71127839,0.693291,-0.72065775,-0.67490923,-0.73790076,-0.17606762,-0.98437807,0.1022284,-0.99476095,-0.99952208,-0.03091305,-0.03843312,-0.99926117,-0.05872202,-0.99827437,-0.01342161,-0.99990993,-0.24413092,-0.96974228
11,-0.99956263,0.02957286,0.68562869,-0.72795144,-0.77039432,-0.63756771,0.78693856,-0.61703137,-0.77168539,-0.63600444,-0.18136759,-0.98341537,0.1108661,-0.99383535,-0.99978306,-0.02082881,-0.03368873,-0.99943237,-0.08255745,-0.99658631,-0.02613486,-0.99965843,-0.2456588,-0.96935636
12,-0.99886814,0.04756515,0.76898015,-0.63927266,-0.82926643,-0.55885346,0.85675811,-0.51571847,-0.8892878,-0.45734801,-0.17960381,-0.98373903,0.10780183,-0.9941724,0.0,0.0,-0.03350074,-0.99943869,-0.08304548,-0.99654576,-0.03245043,-0.99947335,-0.26764386,-0.96351791
13,-0.99856813,0.05349472,0.86768639,-0.49711199,-0.89442719,-0.4472136,0.92131686,-0.38881262,-0.93489851,-0.35491517,-0.17168619,-0.98515169,0.11130408,-0.9937864,0.0,0.0,-0.03387885,-0.99942595,-0.12476593,-0.9921862,-0.0256326,-0.99967143,-0.25027638,-0.96817443
14,-0.99825394,0.05906828,0.9050237,-0.42536114,-0.92847669,-0.37139068,0.96594805,-0.25873609,-0.96244968,-0.27146017,-0.19141467,-0.98150926,0.09950372,-0.99503719,-0.99994686,0.01030873,0.01155992,-0.99993318,-0.08893194,-0.99603771,-0.00624988,-0.99998047,-0.25321472,-0.9674101
15,-0.99798466,0.06345567,0.93489851,-0.35491517,-0.95358267,-0.30113137,0.97618706,-0.21693046,-0.97996303,-0.19917948,-0.16771476,-0.98583556,0.13703485,-0.99056623,-0.99994686,-0.01030873,0.01733843,-0.99984968,-0.1018768,-0.99479702,0.01257762,-0.9999209,-0.21486178,-0.97664447
16,-0.99811713,0.06133681,0.96152395,-0.27472113,-0.9701425,-0.24253563,0.9776685,-0.21015304,-0.99073267,-0.13582625,-0.15974754,-0.9871579,0.15814093,-0.98741655,-0.99918475,-0.0403711,0.04042935,-0.9991824,-0.0725357,-0.99736582,0.02530835,-0.99967969,-0.20863847,-0.97799284
17,-0.99809597,0.06168009,0.97496455,-0.22236034,-0.98248652,-0.18633365,0.97222364,-0.23405384,-0.99589321,-0.09053575,-0.15052844,-0.98860568,0.15320836,-0.98819391,-0.99921668,-0.03957294,0.05770714,-0.99833355,-0.07854447,-0.99691061,0.0518781,-0.99865342,-0.17601626,-0.98438726
18,-0.99837133,0.05704979,0.98495702,-0.17279948,-0.98906327,-0.14749189,0.98663747,-0.16293096,-0.99945404,-0.0330398,-0.15326942,-0.98818444,0.1366374,-0.99062113,-0.99824012,-0.05930139,0.09779487,-0.99520659,-0.07854447,-0.99691061,0.10676874,-0.99428388,-0.177153,-0.98418332
19,-0.99868017,0.05136069,0.98776297,-0.15596257,-0.99174283,-0.12824261,0.99321155,-0.11632207,-0.99996528,-0.00833304,-0.14873358,-0.9888773,0.13715306,-0.99054987,-0.9988007,-0.04896082,0.12687335,-0.99191892,-0.084039,-0.99646247,0.19738124,-0.98032681,-0.16968836,-0.98549777
